zip_code,forecast_timestamp,temp,temp_min,temp_max,humidity,conditions
84790,2025-12-09 15:00:00,46.67,46.67,46.67,54,scattered clouds
84790,2025-12-09 18:00:00,58.01,58.01,58.01,36,few clouds
84790,2025-12-09 21:00:00,64.53,64.53,64.53,28,few clouds
84302,2025-12-05 00:00:00,37.85,37.85,38.62,58,broken clouds
84302,2025-12-05 03:00:00,37.08,36.88,37.08,71,light snow
84302,2025-12-05 06:00:00,35.24,35.24,35.24,97,snow
84302,2025-12-05 09:00:00,35.64,35.64,35.64,97,snow
84302,2025-12-05 12:00:00,42.04,42.04,42.04,98,light rain
84302,2025-12-05 15:00:00,33.28,33.28,33.28,98,snow
84302,2025-12-05 18:00:00,33.28,33.28,33.28,98,snow
84302,2025-12-05 21:00:00,34.63,34.63,34.63,99,light snow
84302,2025-12-06 00:00:00,35.58,35.58,35.58,99,light snow
84302,2025-12-06 03:00:00,35.74,35.74,35.74,99,snow
84302,2025-12-06 06:00:00,36.48,36.48,36.48,98,moderate rain
84302,2025-12-06 09:00:00,36.61,36.61,36.61,99,light rain
84302,2025-12-06 12:00:00,38.44,38.44,38.44,99,light rain
84302,2025-12-06 15:00:00,35.08,35.08,35.08,90,light rain
84302,2025-12-06 18:00:00,38.68,38.68,38.68,93,overcast clouds
84302,2025-12-06 21:00:00,40.1,40.1,40.1,90,overcast clouds
84302,2025-12-07 00:00:00,35.42,35.42,35.42,77,overcast clouds
84302,2025-12-07 03:00:00,35.6,35.6,35.6,78,overcast clouds
84302,2025-12-07 06:00:00,34.86,34.86,34.86,83,overcast clouds
84302,2025-12-07 09:00:00,32.83,32.83,32.83,88,overcast clouds
84302,2025-12-07 12:00:00,32.72,32.72,32.72,96,broken clouds
84302,2025-12-07 15:00:00,32.81,32.81,32.81,91,overcast clouds
84302,2025-12-07 18:00:00,37.54,37.54,37.54,96,overcast clouds
84302,2025-12-07 21:00:00,38.82,38.82,38.82,96,overcast clouds
84302,2025-12-08 00:00:00,36.75,36.75,36.75,98,light snow
84302,2025-12-08 03:00:00,36.5,36.5,36.5,99,snow
84302,2025-12-08 06:00:00,37.51,37.51,37.51,99,light rain
84302,2025-12-08 09:00:00,38.14,38.14,38.14,99,light rain
84302,2025-12-08 12:00:00,38.37,38.37,38.37,98,overcast clouds
84302,2025-12-08 15:00:00,38.46,38.46,38.46,99,light rain
84302,2025-12-08 18:00:00,42.15,42.15,42.15,84,light rain
84302,2025-12-08 21:00:00,44.33,44.33,44.33,72,broken clouds
84302,2025-12-09 00:00:00,42.01,42.01,42.01,76,broken clouds
84302,2025-12-09 03:00:00,39.11,39.11,39.11,78,overcast clouds
84302,2025-12-09 06:00:00,37.42,37.42,37.42,76,overcast clouds
84302,2025-12-09 09:00:00,38.43,38.43,38.43,73,broken clouds
84302,2025-12-09 12:00:00,40.23,40.23,40.23,76,overcast clouds
84302,2025-12-09 15:00:00,41.18,41.18,41.18,79,light rain
84302,2025-12-09 18:00:00,42.04,42.04,42.04,80,light rain
84302,2025-12-09 21:00:00,42.21,42.21,42.21,81,light rain
84101,2025-12-05 00:00:00,40.41,37.74,40.41,56,scattered clouds
84101,2025-12-05 03:00:00,38.55,36.97,38.55,57,broken clouds
84101,2025-12-05 06:00:00,36,36,36,64,light rain
84101,2025-12-05 09:00:00,33.8,33.8,33.8,89,light snow
84101,2025-12-05 12:00:00,37,37,37,94,snow
84101,2025-12-05 15:00:00,33.76,33.76,33.76,98,snow
84101,2025-12-05 18:00:00,35.37,35.37,35.37,99,snow
84101,2025-12-05 21:00:00,35.92,35.92,35.92,99,snow
84101,2025-12-06 00:00:00,36.3,36.3,36.3,99,light rain
84101,2025-12-06 03:00:00,36.99,36.99,36.99,100,light rain
84101,2025-12-06 06:00:00,37.36,37.36,37.36,99,moderate rain
84101,2025-12-06 09:00:00,36.79,36.79,36.79,99,moderate rain
84101,2025-12-06 12:00:00,37.08,37.08,37.08,100,moderate rain
84101,2025-12-06 15:00:00,38.16,38.16,38.16,99,light rain
84101,2025-12-06 18:00:00,42.6,42.6,42.6,83,light rain
84101,2025-12-06 21:00:00,44.51,44.51,44.51,66,light rain
84101,2025-12-07 00:00:00,41.22,41.22,41.22,70,light rain
84101,2025-12-07 03:00:00,41.02,41.02,41.02,74,light rain
84101,2025-12-07 06:00:00,37.8,37.8,37.8,88,light snow
84101,2025-12-07 09:00:00,36.63,36.63,36.63,97,light snow
84101,2025-12-07 12:00:00,35.58,35.58,35.58,90,light snow
84101,2025-12-07 15:00:00,33.91,33.91,33.91,88,broken clouds
84101,2025-12-07 18:00:00,40.62,40.62,40.62,81,broken clouds
84101,2025-12-07 21:00:00,41.9,41.9,41.9,80,overcast clouds
84101,2025-12-08 00:00:00,39.9,39.9,39.9,85,overcast clouds
84101,2025-12-08 03:00:00,39.4,39.4,39.4,93,light rain
84101,2025-12-08 06:00:00,40.15,40.15,40.15,95,light rain
84101,2025-12-08 09:00:00,39.76,39.76,39.76,96,light rain
84101,2025-12-08 12:00:00,39.65,39.65,39.65,95,light rain
84101,2025-12-08 15:00:00,40.15,40.15,40.15,92,light rain
84101,2025-12-08 18:00:00,44.8,44.8,44.8,72,light rain
84101,2025-12-08 21:00:00,46.78,46.78,46.78,62,light rain
84101,2025-12-09 00:00:00,41.22,41.22,41.22,74,broken clouds
84101,2025-12-09 03:00:00,40.32,40.32,40.32,72,broken clouds
84101,2025-12-09 06:00:00,38.1,38.1,38.1,69,broken clouds
84101,2025-12-09 09:00:00,38.25,38.25,38.25,71,broken clouds
84101,2025-12-09 12:00:00,39.43,39.43,39.43,73,broken clouds
84101,2025-12-09 15:00:00,41.83,41.83,41.83,70,overcast clouds
84101,2025-12-09 18:00:00,43.18,43.18,43.18,73,light rain
84101,2025-12-09 21:00:00,45.01,45.01,45.01,74,light rain
84060,2025-12-05 00:00:00,28.38,23.27,28.38,64,scattered clouds
84060,2025-12-05 03:00:00,25.32,22.51,25.32,71,broken clouds
84060,2025-12-05 06:00:00,23.16,23.16,23.16,90,light snow
84060,2025-12-05 09:00:00,22.14,22.14,22.14,96,snow
84060,2025-12-05 12:00:00,24.35,24.35,24.35,97,snow
84060,2025-12-05 15:00:00,22.32,22.32,22.32,96,snow
84060,2025-12-05 18:00:00,26.6,26.6,26.6,94,snow
84060,2025-12-05 21:00:00,28.27,28.27,28.27,95,snow
84060,2025-12-06 00:00:00,26.96,26.96,26.96,98,light snow
84060,2025-12-06 03:00:00,26.37,26.37,26.37,98,snow
84060,2025-12-06 06:00:00,27.32,27.32,27.32,98,snow
84060,2025-12-06 09:00:00,27.66,27.66,27.66,98,snow
84060,2025-12-06 12:00:00,28.71,28.71,28.71,98,snow
84060,2025-12-06 15:00:00,28.74,28.74,28.74,98,snow
84060,2025-12-06 18:00:00,29.48,29.48,29.48,91,light snow
84060,2025-12-06 21:00:00,29.73,29.73,29.73,86,light snow
84060,2025-12-07 00:00:00,22.98,22.98,22.98,85,light snow
84060,2025-12-07 03:00:00,21.58,21.58,21.58,89,light snow
84060,2025-12-07 06:00:00,22.69,22.69,22.69,97,light snow
84060,2025-12-07 09:00:00,22.01,22.01,22.01,97,light snow
84060,2025-12-07 12:00:00,19.08,19.08,19.08,96,light snow
84060,2025-12-07 15:00:00,14.74,14.74,14.74,92,light snow
84060,2025-12-07 18:00:00,28.38,28.38,28.38,88,broken clouds
84060,2025-12-07 21:00:00,29.55,29.55,29.55,97,overcast clouds
84060,2025-12-08 00:00:00,25.18,25.18,25.18,96,light snow
84060,2025-12-08 03:00:00,27.16,27.16,27.16,99,light snow
84060,2025-12-08 06:00:00,28.65,28.65,28.65,99,snow
84060,2025-12-08 09:00:00,28.89,28.89,28.89,99,light snow
84060,2025-12-08 12:00:00,28.85,28.85,28.85,98,light snow
84060,2025-12-08 15:00:00,26.89,26.89,26.89,95,light snow
84060,2025-12-08 18:00:00,30.34,30.34,30.34,95,light snow
84060,2025-12-08 21:00:00,30.24,30.24,30.24,96,light snow
84060,2025-12-09 00:00:00,23.2,23.2,23.2,93,broken clouds
84060,2025-12-09 03:00:00,20.26,20.26,20.26,84,overcast clouds
84060,2025-12-09 06:00:00,17.83,17.83,17.83,78,overcast clouds
84060,2025-12-09 09:00:00,19.67,19.67,19.67,79,broken clouds
84060,2025-12-09 12:00:00,25.05,25.05,25.05,85,overcast clouds
84060,2025-12-09 15:00:00,26.38,26.38,26.38,89,overcast clouds
84060,2025-12-09 18:00:00,31.95,31.95,31.95,99,light snow
84060,2025-12-09 21:00:00,32,32,32,100,light snow
